round,arena,pirate1,pirate2,pirate3,pirate4,fa1,fa2,fa3,fa4,pfa1,pfa2,pfa3,pfa4,nfa1,nfa2,nfa3,nfa4,opening_odds1,opening_odds2,opening_odds3,opening_odds4,closing_odds1,closing_odds2,closing_odds3,closing_odds4,winner
8433,1,12,9,7,10,3,0,0,1,4,1,2,1,-1,-1,-2,0,3,13,3,3,3,13,2,3,1
8433,2,2,4,8,3,2,0,0,0,3,1,3,2,-1,-1,-3,-2,3,2,6,10,3,2,6,10,1
8433,3,11,6,14,19,1,1,1,2,2,2,2,3,-1,-1,-1,-1,13,10,13,2,13,13,13,2,4
8433,4,15,17,20,1,1,2,1,1,2,3,2,3,-1,-1,-1,-2,2,6,7,4,2,6,7,4,3
8434,0,16,12,5,10,3,1,2,1,4,3,4,2,-1,-2,-2,-1,2,8,2,12,2,8,2,12,1
8434,1,13,9,11,2,1,3,3,1,3,3,5,3,-2,0,-2,-2,3,7,4,3,3,7,4,3,2
8434,2,7,17,18,6,0,1,1,1,2,2,3,2,-2,-1,-2,-1,6,2,6,3,6,2,5,3,2
8434,3,19,14,15,3,-1,2,4,-1,0,4,4,2,-1,-2,0,-3,13,13,2,13,13,13,2,13,3
8434,4,8,4,20,1,0,0,2,2,2,2,3,2,-2,-2,-1,0,13,13,5,2,13,13,7,2,4
8435,0,9,13,10,17,1,-1,0,0,1,2,2,1,0,-3,-2,-1,13,4,13,2,13,6,13,2,2
8435,1,3,14,2,18,3,0,1,0,3,1,3,1,0,-1,-2,-1,7,7,4,2,7,7,4,2,3
8435,2,6,11,20,7,1,3,-1,1,1,3,0,2,0,0,-1,-1,6,7,3,2,6,7,3,2,2
8435,3,8,5,12,15,0,-1,1,1,2,1,3,2,-2,-2,-2,-1,13,13,13,2,13,13,13,2,4
8435,4,16,1,4,19,6,6,1,-1,6,6,3,0,0,0,-2,-1,4,2,13,5,6,2,13,7,2
8436,0,5,13,17,10,2,1,5,0,2,3,5,0,0,-2,0,0,7,5,2,13,9,7,2,13,1
8436,1,18,1,20,8,0,-1,-2,3,2,0,0,3,-2,-1,-2,0,13,2,4,3,13,2,4,3,2
8436,2,16,14,9,15,1,4,-2,-1,2,4,1,0,-1,0,-3,-1,6,5,13,2,7,7,13,2,4
8436,3,3,7,12,6,3,3,3,-1,4,3,4,0,-1,0,-1,-1,12,2,2,5,9,3,3,7,2
